Published_time,news_content,news_headline
2021-01-06 08:39:00,"Nguyên Chủ tịch LienViet PostBank khuyên nhà đầu tư bán ngay cổ phiếu ngân hàng: Tại buổi tọa đàm ""Toàn cảnh bất động sản 2021: Nhận diện xung lực mới"" diễn ra ngày 5/1, ông Nguyễn Đức Hưởng – Nguyên chủ tịch HĐQT Ngân hàng...",Nguyên Chủ tịch LienViet PostBank khuyên nhà đầu tư bán ngay cổ phiếu ngân hàng
2021-01-05 15:40:00,"Nhịp đập Thị trường 05/01: Thanh khoản tiếp tục ở mức cao: Tổng giá trị giao dịch toàn thị trường trong phiên hôm nay đạt hơn 19,300 tỷ đồng.",Nhịp đập Thị trường 05/01: Thanh khoản tiếp tục ở mức cao
2021-01-05 09:00:00,"Xử phạt trên thị trường chứng khoán 2020: 6 vụ thao túng giá: Theo thống kê của Vietstock, tính đến ngày 29/12, Ủy ban Chứng khoán Nhà nước đã ban hành tổng cộng 216 quyết định xử phạt vi phạm hành chính trong...",Xử phạt trên thị trường chứng khoán 2020: 6 vụ thao túng giá
2021-01-04 17:12:00,Vietstock Daily 05/01: Sắc xanh chào năm mới: Thị trường khép lại phiên giao dịch đầu tiên của năm 2021 với mức tăng đầy tích cực. Thanh khoản tăng trưởng tốt trên cả hai sàn.,Vietstock Daily 05/01: Sắc xanh chào năm mới
2021-01-04 13:09:00,"SAV, PRE, QNS: Nên mua hay bán?: Các công ty chứng khoán (CTCK) khuyến nghị nắm giữ SAV do cơ hội và nguy cơ đan xen; bán QNS do giá đậu nành nguyên liệu tăng mạnh, mảng đường-điện...","SAV, PRE, QNS: Nên mua hay bán?"
2021-01-04 08:51:00,"Báo cáo không đúng thời hạn, Chủ tịch HVA bị xử phạt: Ngày 31/12/2020, Thanh tra Ủy ban Chứng khoán Nhà nước (UBCKNN) ban hành Quyết định về việc xử phạt vi phạm hành chính trong lĩnh vực chứng khoán và...","Báo cáo không đúng thời hạn, Chủ tịch HVA bị xử phạt"
2021-01-03 09:00:00,"UPCoM 2020: Quy mô tăng, khối ngoại bán ròng: Sàn UPCoM từ lâu đã được xem là “trạm trung chuyển” cần thiết cho các doanh nghiệp có dự định niêm yết lên 2 sàn giao dịch TP.HCM (HOSE) và Hà Nội...","UPCoM 2020: Quy mô tăng, khối ngoại bán ròng"
2021-01-01 12:00:00,"Thị giá VHC và ANV bật tăng sau thông tin được Mỹ áp mức thuế chống bán phá giá thấp: Nếu chỉ bị áp mức thuế 0.09 USD/kg, ANV có cơ hội trở lại thị trường Mỹ sau 6 năm vắng bóng, trong khi đó, VHC phải chịu rủi ro tăng thêm nhưng vẫn...",Thị giá VHC và ANV bật tăng sau thông tin được Mỹ áp mức thuế chống bán phá giá thấp
2020-12-31 10:00:00,"Ngày 31/12/2020: 10 cổ phiếu “nóng” dưới góc nhìn PTKT của Vietstock: Các cổ phiếu “nóng” được phân tích trong báo cáo của Phòng Tư vấn Vietstock gồm: BCC, CTD, GTN, HII, NHH, NVL, TCH, TPB, VJC và VNM.",Ngày 31/12/2020: 10 cổ phiếu “nóng” dưới góc nhìn PTKT của Vietstock
2020-12-30 17:22:00,"Vietstock Daily 31/12: Điều chỉnh trở lại?: VN-Index kết phiên với sắc đỏ, thanh khoản tiếp tục tăng trưởng trong ngày giao dịch 30/12/2020. Thị trường nhiều khả năng sẽ quay trở lại giai đoạn...",Vietstock Daily 31/12: Điều chỉnh trở lại?
2020-12-30 10:34:00,"VDSC: Nhóm ngân hàng, bất động sản sẽ là điểm sáng trong năm 2021: Công ty Chứng khoán Rồng Việt (VDSC) dự báo 2021 sẽ là năm đề cao chiến lược đầu tư từ trên xuống và đi theo sự hồi phục của nền...","VDSC: Nhóm ngân hàng, bất động sản sẽ là điểm sáng trong năm 2021"
2020-12-29 17:10:00,"Vietstock Daily 30/12: Thanh khoản duy trì ở mức cao: VN-Index đánh dấu phiên tăng điểm tích cực. Chỉ số đã có lúc tiến lên test vùng 1,100-1,110 điểm. Thanh khoản vẫn duy trì ở mức cao cho thấy sự dồi...",Vietstock Daily 30/12: Thanh khoản duy trì ở mức cao
2020-12-29 11:10:00,"Fecon muốn bán 1.5 triệu cp quỹ, cổ phiếu tăng giá kịch trần: Ước tính, nhà thầu xây dựng này có thể thu về xấp xỉ 20 tỷ đồng để bổ sung vốn lưu động nếu hoàn tất trọn vẹn đợt bán cổ phiếu quỹ.","Fecon muốn bán 1.5 triệu cp quỹ, cổ phiếu tăng giá kịch trần"
2020-12-28 20:00:00,"Thị trường chứng quyền 29/12/2020: Tâm lý thận trọng gia tăng: Thị trường chứng quyền trong phiên giao dịch ngày 28/12/2020 có diễn biến phân hóa với 57 mã tăng giá, 49 mã giảm giá và 6 mã đứng giá. Khối ngoại...",Thị trường chứng quyền 29/12/2020: Tâm lý thận trọng gia tăng
2020-12-28 13:58:00,"SHI: Không báo cáo khi trở thành cổ đông lớn, một cá nhân bị xử phạt : Ủy ban Chứng khoán Nhà nước (UBCKNN) vừa ban hành Quyết định về việc xử phạt vi phạm hành chính trong lĩnh vực chứng khoán và thị trường chứng khoán...","SHI: Không báo cáo khi trở thành cổ đông lớn, một cá nhân bị xử phạt "
2020-12-28 08:38:00,Top cổ phiếu đáng chú ý đầu tuần 28/12: Danh sách các mã cổ phiếu tăng và giảm mạnh nhất những phiên gần đây theo số liệu thống kê của Vietstock.,Top cổ phiếu đáng chú ý đầu tuần 28/12
2020-12-26 19:45:00,"VN-Index vượt 1,080 điểm nhờ những cổ phiếu nào?: Các chỉ số thị trường biến động tích cực trong tuần 21-25/12/2020. VN-Index kết thúc tuần tăng 1.59% đạt mức 1,084.42 điểm; HNX-Index đóng cửa tuần...","VN-Index vượt 1,080 điểm nhờ những cổ phiếu nào?"
2020-12-25 13:45:00,"Ủy viên HĐQT đăng ký mua hơn 2 triệu cp CTC lần 2: Ủy viên HĐQT của CTCP Gia Lai CTC (HNX: CTC), ông Trần Danh Lượng đăng ký mua hơn 2 triệu cp CTC với mục đích đầu tư cá nhân.",Ủy viên HĐQT đăng ký mua hơn 2 triệu cp CTC lần 2
2020-12-24 19:30:00,"Chứng khoán phái sinh 25/12/2020: Vùng 985-1,000 điểm sẽ là hỗ trợ quan trọng cho VN30-Index: Các hợp đồng tương lai đồng loạt giảm điểm trong phiên giao dịch 24/12/2020. Basis hợp đồng VN30F2101 thu hẹp và đạt giá trị 8.65 điểm. Điều này cho...","Chứng khoán phái sinh 25/12/2020: Vùng 985-1,000 điểm sẽ là hỗ trợ quan trọng cho VN30-Index"
2020-12-24 11:15:00,"MBB sắp chia toàn bộ cổ phiếu quỹ cho cổ đông: Ngày  23/12, Ngân hàng TMCP Quân Đội (HOSE: MBB) thông báo sẽ chia toàn bộ cổ phiếu quỹ của Công ty cho các cổ đông hiện hữu.",MBB sắp chia toàn bộ cổ phiếu quỹ cho cổ đông
2020-12-23 20:00:00,"Thị trường chứng quyền 24/12/2020: Tốt xấu đan xen: Thị trường chứng quyền trong phiên giao dịch ngày 23/12/2020 có diễn biến khá phân hóa khi toàn thị trường có 51 mã giảm giá, 47 mã tăng giá và 12 mã...",Thị trường chứng quyền 24/12/2020: Tốt xấu đan xen
2020-12-23 11:14:00,Công ty con của Coteccons trở thành cổ đông lớn tại IDC: Công ty TNHH Covestcons chính thức trở thành cổ đông lớn tại Tổng Công ty IDICO - CTCP (HNX: IDC) kể từ ngày 15/12/2020 khi mua vào 24.4 triệu cp...,Công ty con của Coteccons trở thành cổ đông lớn tại IDC
2020-12-22 17:06:00,Vietstock Daily 23/12: Dòng tiền dồi dào: Thanh khoản trong phiên giao dịch 22/12/2020 đạt mức cao nhất lịch sử cho thấy sự dồi dào của dòng tiền.,Vietstock Daily 23/12: Dòng tiền dồi dào
2020-12-22 11:07:00,Dragon Capital bán 2.5 triệu cp DXG: Thành viên Vietnam Enterprise Investments Limited của Dragon Capital đã bán ra 2.5 triệu cp DXG của CTCP Tập đoàn Đất Xanh (HOSE: DXG) trong ngày...,Dragon Capital bán 2.5 triệu cp DXG
2020-12-21 20:00:00,"Thị trường chứng quyền 22/12/2020: Thị trường khởi sắc, khối ngoại tiếp tục bán ròng: Thị trường chứng quyền tiếp tục khởi sắc trong phiên giao dịch ngày 21/12/2020 với 79 mã tăng giá, 18 mã giảm giá và 10 mã đứng giá. Khối ngoại tiếp...","Thị trường chứng quyền 22/12/2020: Thị trường khởi sắc, khối ngoại tiếp tục bán ròng"
2020-12-21 11:06:00,Hơn 440 triệu cp Vinaconex được chấp thuận niêm yết trên HOSE: Sở Giao dịch Chứng khoán TP HCM (HOSE) vừa thông báo chấp thuận niêm yết cổ phiếu VCG của Tổng CTCP Xuất nhập khẩu và Xây dựng Việt Nam (Vinaconex...,Hơn 440 triệu cp Vinaconex được chấp thuận niêm yết trên HOSE
2020-12-20 13:30:00,"Góc nhìn tuần 21-25/12: Có thể chạm mốc 1,070 điểm?: Mặc dù các CTCK cho rằng thị trường có thể hướng tới mức điểm cao hơn trong tuần tới, tuy nhiên khả năng rung lắc vẫn sẽ diễn ra luân phiên với những...","Góc nhìn tuần 21-25/12: Có thể chạm mốc 1,070 điểm?"
2020-12-18 17:02:00,"Chứng khoán Tuần 14-18/12/2020: Nhóm ngân hàng bứt phá, VN-Index tăng 7 tuần liên tiếp: VN-Index nối dài chuỗi 7 tuần tăng điểm liên tiếp và được dẫn dắt chủ yếu bởi các cổ phiếu nhóm ngân hàng. Thanh khoản tăng trưởng tích cực trên cả...","Chứng khoán Tuần 14-18/12/2020: Nhóm ngân hàng bứt phá, VN-Index tăng 7 tuần liên tiếp"
2020-12-18 10:04:00,"Ông Đặng Văn Thành muốn mua 11 triệu cp GEG: Ước tính, vị doanh nhân gốc Hoa sẽ phải chi ra gần 195 tỷ đồng để có thể hoàn tất trọn vẹn thương vụ.",Ông Đặng Văn Thành muốn mua 11 triệu cp GEG
2020-12-17 17:10:00,Vietstock Daily 18/12: Tâm lý bi quan bao trùm: Phiên giao dịch 17/12/2020 cho thấy sự thận trọng và bi quan đang chi phối tâm lý các nhà đầu tư trên thị trường.,Vietstock Daily 18/12: Tâm lý bi quan bao trùm
2020-12-17 09:39:00,"CET: Giá cổ phiếu tăng trần liên tục, Ủy viên HĐQT đăng ký gom gần 1.2 triệu cp: Ông Phạm Trần Thanh Hải -  Ủy viên HĐQT của CTCP Tech – Vina (HNX: CET) đã đăng ký mua gần 1.2 triệu cp CET trong thời gian 17/12/2020 – 08/01/2021.","CET: Giá cổ phiếu tăng trần liên tục, Ủy viên HĐQT đăng ký gom gần 1.2 triệu cp"
2020-12-16 15:25:00,"Nhịp đập Thị trường 16/12: VCB tiệm cận mức 100,000 đồng/cp, VN-Index bứt phá mạnh mẽ: VN-Index kết phiên tăng 1.11%, đạt mức 1,066.99 điểm; chỉ số HNX-Index tăng 2.23%, đạt mức 171.62 điểm. Độ rộng thị trường nghiêng hoàn toàn về bên...","Nhịp đập Thị trường 16/12: VCB tiệm cận mức 100,000 đồng/cp, VN-Index bứt phá mạnh mẽ"
2020-12-16 11:03:00,HBC - Sự trở lại đầy ấn tượng: Đồ thị của CTCP Tập đoàn Xây dựng Hòa Bình (HOSE: HBC) đang có những tín hiệu khả quan cả trong ngắn hạn lẫn dài hạn. Các ngưỡng kháng cự mạnh đã bị...,HBC - Sự trở lại đầy ấn tượng
2020-12-15 16:09:00,"Bất chấp lãi lớn, quỹ Vietnam Holding vẫn bị rút vốn mạnh trong tháng 11?: Trong tháng 11 vừa qua, lượng cổ phần đã phát hành của Vietnam Holding giảm từ 51 triệu cp xuống còn 43 triệu cp. Đồng nghĩa lượng...","Bất chấp lãi lớn, quỹ Vietnam Holding vẫn bị rút vốn mạnh trong tháng 11?"
2020-12-15 09:15:00,Đến thời cổ phiếu quỹ được đem làm ESOP?: Hàng ngàn tỷ đồng đã được các doanh nghiệp chi ra để mua cổ phiếu trong giai đoạn thị trường giảm sâu vì Covid-19. Số phận của khối cổ phiếu quỹ này...,Đến thời cổ phiếu quỹ được đem làm ESOP?
2020-12-14 17:07:00,"Vietstock Daily 15/12: Sắc xanh lan tỏa: VN-Index đã có một phiên giao dịch rất lạc quan cả về điểm số và thanh khoản. Nếu đà tăng mạnh này được giữ vững trong các phiên tới, xu hướng tăng...",Vietstock Daily 15/12: Sắc xanh lan tỏa
2020-12-14 09:06:00,TVC: Cổ đông lớn tiếp tục gom thêm 1 triệu cp: Công ty TNHH Một thành viên Tùng Trí Việt vừa đăng ký mua 1 triệu cp TVC của CTCP Tập đoàn Quản lý Tài sản Trí Việt (HNX: TVC) từ ngày 14/12/2020 –...,TVC: Cổ đông lớn tiếp tục gom thêm 1 triệu cp
2020-12-12 20:30:00,"Tâm sự của đội 'Cash is King': Thị trường chứng khoán liên tục tăng điểm trong thời gian qua. Chốt phiên 11/12, VN-Index đạt trên 1,045 điểm. Đội 'Cash is King' hẳn đang mang nhiều...",Tâm sự của đội 'Cash is King'
2020-12-11 17:05:00,"Chứng khoán Tuần 07-11/12/2020: Tích cực leo dốc: VN-Index tiếp tục tăng điểm, nối tiếp chuỗi 5 tuần tăng liên tiếp trước đó. Bên cạnh đó, khối ngoại cũng mua ròng trong tuần qua.",Chứng khoán Tuần 07-11/12/2020: Tích cực leo dốc
2020-12-11 08:00:00,Top cổ phiếu đáng chú ý đầu phiên 11/12: Danh sách các mã cổ phiếu tăng và giảm mạnh nhất những phiên gần đây theo số liệu thống kê của Vietstock.,Top cổ phiếu đáng chú ý đầu phiên 11/12
2020-12-10 15:12:00,"Chứng khoán Yuanta: VN-Index vẫn đang trong chu kỳ tăng trưởng mạnh: Theo Báo cáo thị trường chứng khoán tháng 12/2020 vừa công bố, CTCK Yuanta Việt Nam dự báo VN-Index có thể đạt 1,103 điểm.",Chứng khoán Yuanta: VN-Index vẫn đang trong chu kỳ tăng trưởng mạnh
2020-12-10 08:00:00,Top cổ phiếu đáng chú ý đầu phiên 10/12: Danh sách các mã cổ phiếu tăng và giảm mạnh nhất những phiên gần đây theo số liệu thống kê của Vietstock.,Top cổ phiếu đáng chú ý đầu phiên 10/12
2020-12-09 13:00:00,"Dòng tiền chạy sang cổ phiếu penny?: Nếu như sự bứt phá của chỉ số VN-Index trong tháng 10 chủ yếu nhờ nhóm cổ phiếu vốn hóa lớn thuộc VN 30, đà tăng tháng 11 tích cực hơn khi dòng tiền...",Dòng tiền chạy sang cổ phiếu penny?
2020-12-08 17:30:00,"VAFI đề xuất chưa nên đánh thuế cổ tức cổ phiếu: Nghị định 126/2020/NĐ-CP ngày 19/10/2020 quy định chi tiết một số điều của Luật Quản lý Thuế, trong đó có thực thi đánh thuế với hình thức trả cổ tức...",VAFI đề xuất chưa nên đánh thuế cổ tức cổ phiếu
2020-12-08 12:02:00,"Phân tích kỹ thuật phiên chiều 08/12: Rung lắc khi chạm kháng cự: Trong phiên giao dịch buổi sáng ngày 08/12/2020, VN-Index xuất hiện rung lắc sau khi tiến đến vùng kháng cự 1,030-1,035 điểm (ngưỡng Fibonacci...",Phân tích kỹ thuật phiên chiều 08/12: Rung lắc khi chạm kháng cự
2020-12-07 20:00:00,"Thị trường chứng quyền 08/12/2020: Khởi sắc cùng thị trường cơ sở: Thị trường chứng quyền trong phiên giao dịch ngày 07/12/2020 có diễn biến khá tích cực khi toàn thị trường có 63 mã tăng giá, 43 mã giảm giá và 17 mã...",Thị trường chứng quyền 08/12/2020: Khởi sắc cùng thị trường cơ sở
2020-12-07 13:13:00,"Mirae Asset: 1,040-1,050 điểm là mục tiêu tháng cuối năm của VN-Index: Theo báo cáo Kinh tế vĩ mô tháng 11 và triển vọng TTCK tháng 12/2020 của CTCK Mirae Asset (Mirae Asset) nền kinh tế Việt Nam đã mở rộng đà hồi phục...","Mirae Asset: 1,040-1,050 điểm là mục tiêu tháng cuối năm của VN-Index"
2020-12-06 19:00:00,"Thị trường chứng quyền Tuần 07-11/12/2020: Tốt xấu đan xen: Thị trường chứng quyền kết thúc phiên giao dịch ngày 04/12/2020 với 63 mã giảm giá, 44 mã tăng giá và 16 mã đứng giá. Khối ngoại bán ròng trở lại với...",Thị trường chứng quyền Tuần 07-11/12/2020: Tốt xấu đan xen
2020-12-05 10:00:00,"2020 không phải là năm dành cho ‘những trái tim yếu đuối’: Tại báo cáo cập nhất mới nhất, quỹ Asia Frontier Capital (AFC) đánh giá Việt Nam là khoản đặt cược tuyệt vời đối với một sự phục hồi của nền kinh tế...",2020 không phải là năm dành cho ‘những trái tim yếu đuối’
2020-12-04 11:36:00,Một doanh nghiệp ngành nông lâm chuẩn bị chào sàn UPCoM: Sở Giao dịch Chứng khoán Hà Nội vừa thông báo Trung tâm Nông Nghiệp Mùa Xuân sẽ giao dịch trên UPCoM lần đầu tiên vào ngày 10/12/2020 với mã chứng...,Một doanh nghiệp ngành nông lâm chuẩn bị chào sàn UPCoM
2020-12-03 16:23:00,Quỹ iShares MSCI Frontier 100 ETF chính thức bổ sung PDR vào danh mục: CTCP Phát triển Bất động sản Phát Đạt (HOSE: PDR) vừa được Quỹ iShares MSCI Frontier 100 ETF chọn là 1 trong 4 cổ phiếu mua mới trong đợt này.,Quỹ iShares MSCI Frontier 100 ETF chính thức bổ sung PDR vào danh mục
2020-12-03 10:00:00,"Ngày 03/12/2020: 10 cổ phiếu “nóng” dưới góc nhìn PTKT của Vietstock: Các cổ phiếu “nóng” được phân tích trong báo cáo của Phòng Tư vấn Vietstock gồm: DIG, GMD, GAS, GEX, HDB, HSG, MSN, NLG, MBB và STB.",Ngày 03/12/2020: 10 cổ phiếu “nóng” dưới góc nhìn PTKT của Vietstock
2020-12-02 16:54:00,"ACB sẽ chính thức chào sàn HOSE vào ngày 09/12, giá tham chiếu 26,400 đồng/cp: Sở Giao dịch Chứng khoán TPHCM (HOSE) vừa thông báo hơn 2.1 tỷ cổ phiếu ACB của Ngân hàng TMCP Á Châu sẽ chính thức thức được niêm yết trên sàn HOSE...","ACB sẽ chính thức chào sàn HOSE vào ngày 09/12, giá tham chiếu 26,400 đồng/cp"
2020-12-02 10:29:00,"Đầu tư VSD muốn gom 12 triệu cp VCP: Nhằm tăng tỷ lệ sở hữu, CTCP Đầu tư VSD đăng ký mua 12 triệu cp VCP của CTCP Tư Xây dựng và Phát triển Năng Lượng VCP (Vinaconex Power, UPCoM: VCP)...",Đầu tư VSD muốn gom 12 triệu cp VCP
2020-12-01 16:00:00,"HFIC chưa bán được 25 triệu cp HCM: Công ty Đầu tư Tài chính Nhà nước Thành phố Hồ Chí Minh (HFIC) vừa báo cáo kết quả giao dịch 25 triệu cp của CTCP Chứng khoán TP.HCM (HSC, HOSE: HCM)...",HFIC chưa bán được 25 triệu cp HCM
2020-12-01 10:00:00,"Ngày 01/12/2020: 10 cổ phiếu “nóng” dưới góc nhìn PTKT của Vietstock: Các cổ phiếu “nóng” được phân tích trong báo cáo của Phòng Tư vấn Vietstock gồm: BWE, GMD, GAS, GEX, HDB, HSG, MSN, NLG, MBB và TCH.",Ngày 01/12/2020: 10 cổ phiếu “nóng” dưới góc nhìn PTKT của Vietstock
2020-11-30 15:25:00,"Nhịp đập Thị trường 30/11: VN-Index rơi mạnh nửa cuối phiên chiều: VN-Index kết phiên giảm 0.71%, đạt mức 1,003.08 điểm; chỉ số HNX-Index giảm 0.32%, đạt mức 147.70 điểm. Độ rộng thị trường nghiêng về bên bán với 299...",Nhịp đập Thị trường 30/11: VN-Index rơi mạnh nửa cuối phiên chiều
2020-11-30 09:30:00,"Một chủ tịch bị xử phạt vì ""mua chui"" cổ phiếu: Ngày 26/11/2020, Thanh tra Ủy ban Chứng khoán Nhà nước (UBCKNN) ban hành Quyết định về việc xử phạt vi phạm hành chính trong lĩnh vực chứng khoán và...","Một chủ tịch bị xử phạt vì ""mua chui"" cổ phiếu"
2020-11-28 11:03:00,"MBB: Phó Tổng Giám đốc đăng ký mua 1 triệu cp: Theo báo cáo gửi đến UBCK Nhà nước và Sở GDCK TP HCM (HOSE), ông Lê Quốc Minh - Phó Tổng Giám đốc MB muốn mua vào lượng lớn cổ phần tại ngân hàng này.",MBB: Phó Tổng Giám đốc đăng ký mua 1 triệu cp
2020-11-27 12:36:00,"Phân tích kỹ thuật phiên chiều 27/11: VN-Index xuất hiện mẫu hình nến Doji: Trong phiên giao dịch buổi sáng ngày 27/11/2020, VN-Index tạo cây nến Doji chứng tỏ tâm lý nhà đầu tư đang giằng co mạnh.",Phân tích kỹ thuật phiên chiều 27/11: VN-Index xuất hiện mẫu hình nến Doji
